Windows SDK for Windows Store Apps Libs                                                       10.1.18362.1      
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30411 False                               9.0.30411         
MSVCRT110                                                                                     16.4.1108.0727    
Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.42 False                            8.0.50727.42      
HP DeskJet 1110 series Software básico del dispositivo                                        40.11.1124.17107  
Microsoft ASP.NET Core 3.1.1 Shared Framework (x64)                                           3.1.1.0           
Microsoft Azure Authoring Tools - v2.9.6                                                      2.9.8899.26       
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4048 False                          9.0.30729.4048    
TypeScript SDK                                                                                3.7.4.0           
icecap_collectionresourcesx64                                                                 16.4.29411        
Microsoft .NET Framework 4.5.2 Multi-Targeting Pack                                           4.5.51651         
Microsoft .NET Core SDK 3.1.101 (x64) from Visual Studio                                      3.1.101.014848    
vs_clickoncesigntoolmsi                                                                       16.0.28329        
Visual C++ Library CRT Appx Resource Package                                                  14.24.28314       
Windows SDK Desktop Libs x64                                                                  10.1.18362.1      
VS Immersive Activate Helper                                                                  16.0.98.0         
Windows SDK Desktop Tools arm64                                                               10.1.18362.1      
Visual C++ Library CRT Appx Package                                                           14.24.28314       
Windows Phone SDK 8.0 Assemblies for Visual Studio 2019                                       16.0.29430        
Estudio para la mejora del producto HP DeskJet 1110 series                                    40.11.1124.17107  
                                                                                                                
Windows SDK DirectX x64 Remote                                                                10.1.18362.1      
Microsoft .NET Framework 4.6.1 Targeting Pack                                                 4.6.01055         
Microsoft Visual C++ 2005 Redistributable - x64 8.0.59192 False                               8.0.59192         
HP Google Drive Plugin                                                                        36.0.102.68541    
Estudio para la mejora del producto HP DeskJet 5200 series                                    44.4.2678.1977    
Google Update Helper                                                                          1.3.35.441        
Paquete de compatibilidad de Microsoft .NET Framework 4.7.2 (español)                         4.7.03062         
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.5570 False                          9.0.30729.5570    
Microsoft Visual C++ 2005 Redistributable - x86 8.0.58299 False                               8.0.58299         
MSVCRT                                                                                        15.4.2862.0708    
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148.0 False                        9.0.30729.4148    
Universal CRT Extension SDK                                                                   10.1.18362.1      
icecap_collectionresources                                                                    16.4.29430        
Windows Live PIMT Platform                                                                    16.4.3528.0331    
vs_filehandler_amd64                                                                          16.4.29709        
Visual C++ Library CRT Appx Package                                                           14.24.28314       
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664                                 12.0.40664        
HP OneDrive Plugin                                                                            36.0.0.0          
Windows Live UX Platform Language Pack                                                        16.4.3528.0331    
Microsoft Visual C++ 2005 Redistributable - x86 8.0.56336 False                               8.0.56336         
Movie Maker                                                                                   16.4.3528.0331    
Visual C++ Library CRT Desktop Appx Package                                                   14.24.28314       
WinRT Intellisense UAP - en-us                                                                10.1.18362.1      
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729 False                               9.0.30729         
Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.4053 False                          8.0.50727.4053    
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727 False                           11.0.50727        
VS JIT Debugger                                                                               16.0.98.0         
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727 False                              11.0.50727        
WinRT Intellisense IoT - en-us                                                                10.1.18362.1      
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                                          24.0.28113        
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030                                 11.0.61030        
Microsoft Visual C++ 2010 Redistributable - x64 10.0.30319 False                              10.0.30319        
Windows Live Installer                                                                        16.4.3528.0331    
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.51106 False                              11.0.51106        
Microsoft Visual C++ 2005 Redistributable - x86 8.0.61001                                     8.0.61001         
Microsoft Windows Desktop Targeting Pack - 3.1.0 (x64)                                        24.64.28315       
